ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,iys,-0.1271667,-0.0370636,0.9911804,-0.03029453,-0.006186066,-0.03336897,True,True,False,0.5992482,0,False,04:55:30 PM,160.3813,196.4647,-286.8882,0.600435,2.388126,-1.494841,-0.09721343,0.9896919,0.09459541,0.04594627,-0.01448082,0.8755254,0.09470566,-0.4735783,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.03887939,0.01470947,0.9991302,-0.03093344,-0.006417328,-0.03298865,True,True,False,0.6118571,0,False,04:55:30 PM,160.385,196.4653,-286.8873,0.602978,2.388516,-1.497761,-0.09849814,0.9884184,0.09655267,0.06328446,-0.01521611,0.8834938,0.09671374,-0.4580978,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.07899475,0.02175903,0.9966278,-0.03100595,-0.008799897,-0.02631618,True,True,False,0.6232449,0,False,04:55:30 PM,160.3885,196.4659,-286.886,0.6057239,2.388913,-1.500272,-0.09948389,0.9869912,0.09814938,0.07948732,-0.01584476,0.8907249,0.09828909,-0.4435058,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.005065918,0.01121521,0.9999237,-0.03164421,-0.0059404,-0.03541455,True,True,False,0.6357687,0,False,04:55:30 PM,160.3916,196.4664,-286.8849,0.608238,2.3892,-1.502542,-0.1006123,0.9854881,0.09923782,0.09403342,-0.01680039,0.8970199,0.09954208,-0.4303075,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.06982422,-0.002426147,0.9975433,-0.03195697,-0.00618631,-0.03364336,True,True,False,0.6502069,0,False,04:55:30 PM,160.3973,196.4673,-286.8826,0.612921,2.3897,-1.506589,-0.1021217,0.9824011,0.100229,0.1200567,-0.01857715,0.907896,0.1007172,-0.4064921,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.09970093,0.0769043,0.9920349,-0.03227396,-0.006106964,-0.03356105,True,True,False,0.6629238,0,False,04:55:30 PM,160.3999,196.4677,-286.8815,0.6150143,2.389938,-1.508384,-0.1020221,0.9809029,0.1005093,0.1316012,-0.01879279,0.9125886,0.1007093,-0.3958365,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.1342163,0.0639801,0.9888763,-0.03235861,-0.006071412,-0.03356688,True,True,False,0.6744921,0,False,04:55:30 PM,160.4024,196.468,-286.8804,0.617214,2.390152,-1.510093,-0.1015543,0.97922,0.1007891,0.1437239,-0.01871849,0.9174139,0.1005048,-0.3845778,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.07745361,0.09765625,0.9921875,-0.03192262,-0.006082871,-0.0339247,True,True,False,0.6862726,0,False,04:55:30 PM,160.4048,196.4683,-286.8794,0.6192312,2.39031,-1.511781,-0.1006517,0.9775373,0.1006148,0.1554573,-0.01849318,0.9220126,0.09969582,-0.3736464,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.05796814,0.1455078,0.9876556,-0.0315974,-0.006334305,-0.03356174,True,True,False,0.6982632,0,False,04:55:30 PM,160.4072,196.4686,-286.8782,0.6213601,2.390455,-1.513365,-0.09977346,0.9756553,0.1001869,0.1676446,-0.01844027,0.9266669,0.09867979,-0.3622302,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.05474854,0.1862488,0.9809723,-0.03137247,-0.006362229,-0.03354758,True,True,False,0.7094761,0,False,04:55:30 PM,160.4095,196.4687,-286.8772,0.6233144,2.390486,-1.51493,-0.09885061,0.973694,0.09962501,0.1795091,-0.0184086,0.9310808,0.09753601,-0.3510503,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.008178711,0.0458374,0.9989014,-0.03142941,-0.00649321,-0.03324511,True,True,False,0.721181,0,False,04:55:30 PM,160.4117,196.4689,-286.8761,0.6253366,2.390517,-1.516364,-0.09808191,0.9716259,0.09907368,0.1910695,-0.01849471,0.93525,0.09649127,-0.3400807,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
